('the',) : 188100
('1.33',) : 1
('kardecist',) : 1
('evangelicalism',) : 1
('professing',) : 1
('velho',) : 1
('84.35',) : 1
('orthographies',) : 1
('co-exist',) : 1
('cachoeira',) : 1
('nheengatu',) : 1
("'anti-creole",) : 1
('baniwa',) : 1
('hunsrückisch',) : 1
('médio',) : 1
('non-portuguese',) : 1
('abstractionism',) : 1
('1500.',) : 1
('maurício',) : 1
('nunes',) : 1
('viennese',) : 1
('characteristically',) : 1
('maracatu',) : 1
('afoxê',) : 1
('call-and-response',) : 1
('choro',) : 1
('virtuosity',) : 1
('syncopation',) : 1
('pêro',) : 1
('caminha',) : 1
('macedo',) : 1
('indigenist',) : 1
('iracema',) : 1
('ubirajara',) : 1
('machado',) : 1
('melo',) : 1
('neto',) : 1
('vinicius',) : 1
('moraes',) : 1
('cora',) : 1
('coralina',) : 1
('graciliano',) : 1
('cecília',) : 1
('meireles',) : 1
('guimarães',) : 1
('clarice',) : 1
('lispector',) : 1
('bandeira',) : 1
('feijoada',) : 1
('beiju',) : 1
('feijão',) : 1
('tropeiro',) : 1
('vatapá',) : 1
('moqueca',) : 1
('polenta',) : 1
('acarajé',) : 1
('caipirinha',) : 1
('farofa',) : 1
('coxinha',) : 1
('croquete',) : 1
('pão',) : 1
('queijo',) : 1
('pamonha',) : 1
('esfirra',) : 1
('kibbeh',) : 1
('empanada',) : 1
('empada',) : 1
('brigadeiros',) : 1
('fudge',) : 1
('bolo',) : 1
('rolo',) : 1
('cocada',) : 1
('beijinhos',) : 1
('clove',) : 1
('romeu',) : 1
('paçoca',) : 1
('rapadura',) : 1
('pé-de-moleque',) : 1
('açaí',) : 1
('cupuaçu',) : 1
('cashew',) : 1
('passionfruit',) : 1
('popsicles',) : 1
('limite',) : 1
('bruta',) : 1
('adhemar',) : 1
('cinédia',) : 1
('glauber',) : 1
('pereira',) : 1
('saraceni',) : 1
('jabor',) : 1
('deus',) : 1
('diabo',) : 1
('transe',) : 1
('quatrilho',) : 1
('fábio',) : 1
('é',) : 1
('isso',) : 1
('companheiro',) : 1
('salles',) : 1
('montenegro',) : 1
('gramado',) : 1
('1813–1848',) : 1
('guarany',) : 1
('dramaturgias',) : 1
('conductress',) : 1
('chiquinha',) : 1
('paschoal',) : 1
('magno',) : 1
('adolfo',) : 1
('celi',) : 1
('ruggero',) : 1
('jacobbi',) : 1
('brasileiro',) : 1
('comedia',) : 1
('ariano',) : 1
('suassuna',) : 1
('neoclassicism',) : 1
('abstracionism',) : 1
('missão',) : 1
('artística',) : 1
('francesa',) : 1
('decorating',) : 1
('carpentry',) : 1
('debret',) : 1
('ataíde',) : 1
('américo',) : 1
('malfatti',) : 1
('nery',) : 1
('lasar',) : 1
('segall',) : 1
('cavalcanti',) : 1
('rego',) : 1
('tarsila',) : 1
('amaral',) : 1
('bonadei',) : 1
('pancetti',) : 1
('cândido',) : 1
('portinari',) : 1
('futsal',) : 1
('footvolley',) : 1
('tudo',) : 1
('jiu-jitsu',) : 1
('autódromo',) : 1
('paralympic',) : 1
('demarcates',) : 1
('chukchi',) : 1
('180°0′e',) : 1
('180°0′w',) : 1
('diomede',) : 1
('168°58′37″',) : 1
('attu',) : 1
('us-owned',) : 1
('howland',) : 1
('172.5°w',) : 1
('circumscribes',) : 1
('165°w',) : 1
('11:59',) : 1
('23:15',) : 1
('10:00–10:59',) : 1
('11:00–11:59',) : 1
('amundsen-scott',) : 1
('mcmurdo',) : 1
('zucchelli',) : 1
('anglo-french',) : 1
('time-keeping',) : 1
('gaps—it',) : 1
('7.5°',) : 1
('±12',) : 1
('midnight-to-midnight',) : 1
('ossipee',) : 1
('discord',) : 1
('malietoa',) : 1
('laupepa',) : 1
('timezone',) : 1
('now-republic',) : 1
('straddled',) : 1
('solemnly',) : 1
('sda',) : 1
('samatau',) : 1
('worshiping',) : 1
("jumu'ah",) : 1
('fasts',) : 1
('decisors',) : 1
('line—or',) : 1
('it—serves',) : 1
('unanimity',) : 1
('observance',) : 1
('indulges',) : 1
('phileas',) : 1
('1872.',) : 1
('8:50',) : 1
('passepartout',) : 1
('borsuk-ulam',) : 1
('0°n',) : 1
('\ufeff0°n',) : 1
('-180',) : 1
('∆hvap',) : 1
('j/mol',) : 1
('kcal/mol',) : 1
('cal/g',) : 1
('btu/lb',) : 1
('0.0845',) : 1
('waals',) : 1
('40.65',) : 1
('75.3',) : 1
('mol−1',) : 1
('atomization',) : 1
('δvg',) : 1
('pitzer',) : 1
('tcpc',) : 1
('nondescript',) : 1
('reappears',) : 1
('days—with',) : 1
('infrared-sensing',) : 1
('east-wind',) : 1
('may–november',) : 1
('basins—but',) : 1
('weak-to-moderate',) : 1
('enso-neutral',) : 1
('2.0–3.0',) : 1
('retrograding',) : 1
('170°e',) : 1
('case-to-case',) : 1
('calms',) : 1
('spcz',) : 1
('sitcz',) : 1
('3°',) : 1
('janeiro–galeão',) : 1
('11:15',) : 1
('5:15',) : 1
('9:15',) : 1
('itcz/monsoon',) : 1
('heralds',) : 1
('vorticity-rich',) : 1
('west-moving',) : 1
('hovmöller',) : 1
('1.4°',) : 1
('0830',) : 1
('re-assessed',) : 1
('05b',) : 1
('1.5º',) : 1
('2.2º',) : 1
('10–30',) : 1
('100–400',) : 1
('selangor',) : 1
('senai',) : 1
('13,195',) : 1
('gunung',) : 1
('pulai',) : 1
('rm13.7',) : 1
('rm5,000',) : 1
('changi',) : 1
('peipah',) : 1
('somalian',) : 1
('0.5°',) : 1
('equator—the',) : 1
('0.7°',) : 1
('05a',) : 1
('guardafui—the',) : 1
('ceel',) : 1
('huur',) : 1
('1.5°',) : 1
('terrain-forced',) : 1
('gauss',) : 1
('notoriously',) : 1
('navier',) : 1
('zang',) : 1
('urdaneta',) : 1
('empire-building',) : 1
('etymologists',) : 1
('subsident',) : 1
('guianas',) : 1
('peripheries',) : 1
('1995–present',) : 1
('central-eastern',) : 1
("'beta",) : 1
('tractable',) : 1
('francesca',) : 1
('gretchen',) : 1
('gil',) : 1
('centroid',) : 1
('16w',) : 1
('nida',) : 1
('27w',) : 1
('urduja',) : 1
('pewa',) : 1
('unala',) : 1
('藤原',) : 1
('咲平',) : 1
('jirō',) : 1
('nitta',) : 1
('masahiko',) : 1
('grandnephew',) : 1
('takashima',) : 1
('tetsuzan',) : 1
('nagata',) : 1
('shigeo',) : 1
('shoten',) : 1
('takematsu',) : 1
('okada',) : 1
('purged',) : 1
('anti-trades',) : 1
('sverdrups',) : 1
('/iːˈoʊkeɪ/',) : 1
('sustainment',) : 1
('188–200',) : 1
('921.5',) : 1
('27.21',) : 1
('0906',) : 1
('yukon-kuskokwim',) : 1
('juneau',) : 1
('27.019',) : 1
('t-afs-7',) : 1
('12–16',) : 1
('jacatepec',) : 1
('3.78',) : 1
('calera',) : 1
('19.13',) : 1
('four-e',) : 1
('2400',) : 1
('wailuaiki',) : 1
('convective-less',) : 1
('15.08',) : 1
('kuhio',) : 1
('4,320',) : 1
('19,200',) : 1
('two-c.',) : 1
('villita',) : 1
('sixteen-e',) : 1
('kiholo',) : 1
('2.28',) : 1
('sixteen-e.',) : 1
('warmer-than-average',) : 1
('ruinous',) : 1
('3,913',) : 1
('158.9',) : 1
('secoond-costliest',) : 1
('hurricanes—dennis',) : 1
('wilma—were',) : 1
('120–190',) : 1
('riptide',) : 1
('coden',) : 1
('4–',) : 1
('4.91',) : 1
('7.36',) : 1
('5-level',) : 1
('dedo',) : 1
('latest-forming',) : 1
('159.2',) : 1
('2,067',) : 1
('damped',) : 1
('sluggish',) : 1
('time—only',) : 1
('north—and',) : 1
('fastest-intensifying',) : 1
('250.',) : 1
('fourth-',) : 1
('sixth-most',) : 1
('nine-day-old',) : 1
("'retire",) : 1
('pensacola/milton',) : 1
('70.38',) : 1
('special-needs',) : 1
('atlantean',) : 1
('caribbean—mainly',) : 1
('jamaica—three',) : 1
('blountstown',) : 1
('marianna',) : 1
('grenadian',) : 1
('815',) : 1
('75-year-old',) : 1
('dinwiddy',) : 1
('pre-ivan',) : 1
('2.86',) : 1
('mckeeva',) : 1
('20-a',) : 1
('quarter-mile',) : 1
('demopolis',) : 1
('five-story',) : 1
('steel-reinforced',) : 1
('489,000',) : 1
('power—roughly',) : 1
('boater',) : 1
('50-knot',) : 1
('frankstown',) : 1
('envisage',) : 1
('shortfalls',) : 1
('usaid’s',) : 1
('1,379',) : 1
('herders',) : 1
('889',) : 1
('167,700',) : 1
('5,856',) : 1
('poarch',) : 1
('138,500',) : 1
('162.6',) : 1
('fema’s',) : 1
('869',) : 1
('mema',) : 1
('renters',) : 1
('9,527',) : 1
('91-foot',) : 1
('28-meter',) : 1
('8,000–10,000',) : 1
('466.7',) : 1
('18.37',) : 1
('chinda',) : 1
('359',) : 1
('1,178',) : 1
('earthflows',) : 1
('bovine',) : 1
('l52,345,000,000',) : 1
('2.005',) : 1
('lahar',) : 1
('17,600',) : 1
('368,300',) : 1
('subsector',) : 1
('bovines',) : 1
('mines—left',) : 1
('1980s—that',) : 1
('provenir',) : 1
('rolando',) : 1
('windjammer',) : 1
('fantome',) : 1
('chiriquí',) : 1
('2,135',) : 1
('lempa',) : 1
('386',) : 1
('16.85',) : 1
('428.0',) : 1
('louth',) : 1
('endeavored',) : 1
('2,328',) : 1
('1,357',) : 1
('iris—four',) : 1
('overcast—a',) : 1
('thunderstorms—as',) : 1
('10–second',) : 1
('eastward-moving',) : 1
('0.71',) : 1
('trois-îlets',) : 1
('17.72',) : 1
('storm-flooded',) : 1
('sun-sentinel',) : 1
('whacky',) : 1
('dispensers',) : 1
('helmut',) : 1
('weickmann',) : 1
('mcready',) : 1
('july–august',) : 1
('seeders',) : 1
('non-hurricane',) : 1
('near-seedings',) : 1
('hand-dumping',) : 1
('gun-like',) : 1
('refocus',) : 1
('post-seeding',) : 1
('microphysically',) : 1
('debunking',) : 1
('weaponize',) : 1
('microphysical',) : 1
('mid-altitude',) : 1
('warm-season',) : 1
('experimenters',) : 1
('dependable',) : 1
('radiophysics',) : 1
('post-corporatisation',) : 1
('coax',) : 1
('tel',) : 1
('aviv',) : 1
('incapacitation',) : 1
('tooth',) : 1
('fillings',) : 1
('2,740',) : 1
('park—a',) : 1
('reserve—is',) : 1
('non-definitive',) : 1
('1906–1993',) : 1
('serendipitous',) : 1
('talcum',) : 1
('astonishment',) : 1
('eye-popping',) : 1
('tinkering',) : 1
('chessin',) : 1
('crystallographer',) : 1
('greylock',) : 1
('60-mile',) : 1
('augmentation',) : 1
('cloud-seeded',) : 1
('stillwater',) : 1
('skywater',) : 1
('cdwr',) : 1
('scpp',) : 1
('hiplex',) : 1
('member-states',) : 1
('six-state',) : 1
('1981–2000',) : 1
('1984–87,1993-94',) : 1
('pollutes',) : 1
('nea',) : 1
('denials',) : 1
('early-august',) : 1
('late-1950s',) : 1
('khao',) : 1
('yai',) : 1
('bhumibol',) : 1
('adulyadej',) : 1
('088',) : 1
('100mm',) : 1
('witwatersrand',) : 1
('ncms',) : 1
('c90',) : 1
('langeman',) : 1
('mcleod',) : 1
('ex-members',) : 1
('anelfa',) : 1
('antigranizo',) : 1
('aragon',) : 1
('an-30',) : 1
('an-30m',) : 1
('pods',) : 1
('belorussian',) : 1
('an-26',) : 1
('pulverize',) : 1
('rosenheim',) : 1
('miesbach',) : 1
('traunstein',) : 1
('kufstein',) : 1
('tyrol',) : 1
('villingen-schwenningen',) : 1
('aeroclub',) : 1
('letalski',) : 1
('edvard',) : 1
('rusjan',) : 1
('hydro-electricity',) : 1
('narrabri',) : 1
('then-snowy',) : 1
("'al-ghait",) : 1
('rmaf',) : 1
('118-119',) : 1
('128-129.',) : 1
('6-24-2013',) : 1
('photosensitive',) : 1
('silver-based',) : 1
('α-agi',) : 1
('darkens',) : 1
('photosensitivity',) : 1
('10–50',) : 1
('argyria',) : 1
('discoloration',) : 1
('undercooling',) : 1
('273.15',) : 1
('−48.3',) : 1
('°c/−55',) : 1
('demineralization',) : 1
('k/s',) : 1
('−137',) : 1
('°c/−215',) : 1
('glassy',) : 1
('−42',) : 1
('°c/−43.6',) : 1
('crystallization',) : 1
('superheat',) : 1
('afps',) : 1
('noncolligative',) : 1
('colligative',) : 1
('antifreezes',) : 1
('ice-nucleating',) : 1
('ectotherms',) : 1
('acclimate',) : 1
('debatably',) : 1
('suberin',) : 1
('cuticle',) : 1
('rhododendron',) : 1
('ferrugineum',) : 1
('vitis-idaea',) : 1
('abies',) : 1
('picea',) : 1
('larix',) : 1
('supercool',) : 1
('sprite',) : 1
('hospital/harvard',) : 1
('quadrupling',) : 1
('–6',) : 1
('liquid-encapsulated',) : 1
('soldering',) : 1
('storm—having',) : 1
('status—skirted',) : 1
('913,010',) : 1
('1,626,611.',) : 1
('jacksonvillians',) : 1
('jaxsons',) : 1
('jaxons',) : 1
('ossachite',) : 1
('goulaine',) : 1
('laudonnière',) : 1
('plats',) : 1
('hemming',) : 1
('dyal-upchurch',) : 1
('york–based',) : 1
('75.8',) : 1
('tanzler',) : 1
('julington',) : 1
('half-penny',) : 1
('874.3',) : 1
('2,264',) : 1
('86.66',) : 1
('757.7',) : 1
('1,962',) : 1
('116.7',) : 1
('hardwick',) : 1
('futurism',) : 1
('organicism',) : 1
('kbj',) : 1
('37-story',) : 1
('1972-74',) : 1
('28-floor',) : 1
('riverplace',) : 1
('precast',) : 1
('post-tensioned',) : 1
('erupt',) : 1
('one-inch',) : 1
('near-hurricane',) : 1
('crisscrossed',) : 1
('jetski',) : 1
('waterski',) : 1
('crady',) : 1
('821,784',) : 1
('5,751',) : 1
('25,033',) : 1
('43.8',) : 1
('3.21.',) : 1
('48,829',) : 1
('59,272',) : 1
('42,485',) : 1
('34,209',) : 1
('25,227',) : 1
('38.0',) : 1
('35.7',) : 1
('languages/oceanic',) : 1
('90.60',) : 1
('365,267',) : 1
('76,100',) : 1
('56,769',) : 1
('133,155',) : 1
('maronite',) : 1
('2520',) : 1
('14,886',) : 1
('unitarian',) : 1
('8,581',) : 1
('6,028',) : 1
('reconstructionist',) : 1
('4,595',) : 1
('3,530',) : 1
("bahá'ís",) : 1
('providential',) : 1
('diversification',) : 1
('gustafson',) : 1
('interline',) : 1
('swisher',) : 1
('railamerica',) : 1
('nationsbank',) : 1
('circum',) : 1
('ameris',) : 1
('bancorp',) : 1
('medmal',) : 1
('vystar',) : 1
('nearshoring',) : 1
('intuitions',) : 1
('jpmorgan',) : 1
('aetna',) : 1
('freight-handling',) : 1
('22,939',) : 1
('92.83',) : 1
('commercial-zoned',) : 1
('large-size',) : 1
('jacksonville.com',) : 1
('weeklies',) : 1
('jax4kids',) : 1
('caters',) : 1
('jax4kids.com',) : 1
('wtlv',) : 1
('wjxx',) : 1
('wfox-tv',) : 1
('mynetworktv/metv',) : 1
('dt2',) : 1
('wjxt',) : 1
('iheartmedia',) : 1
('690am',) : 1
('simulcasting',) : 1
('wape',) : 1
('wksl',) : 1
('97.9',) : 1
('wjbt',) : 1
('hip-hop/r',) : 1
('96.9',) : 1
('wjgl',) : 1
('wjgl-hd2',) : 1
('chr',) : 1
('106.1',) : 1
('wwjk',) : 1
('107.3',) : 1
('wxxj',) : 1
('102.9',) : 1
('wqik',) : 1
('99.1',) : 1
('wgne-fm',) : 1
('99.9',) : 1
('wcrj',) : 1
('88.1/wsos-fm',) : 1
('89.9',) : 1
('wjkv',) : 1
('90.9',) : 1
('k-love',) : 1
('prx',) : 1
('letson',) : 1
('units/squadrons',) : 1
('micro-electronics',) : 1
('8,000-foot',) : 1
('mpf',) : 1
('mps',) : 1
('bray',) : 1
('15-kilometre',) : 1
('grabs',) : 1
('crowdfunding',) : 1
('arts-and-crafts',) : 1
('16,000-seat',) : 1
('delores',) : 1
('aviaries',) : 1
('alhambra',) : 1
('jaxparks',) : 1
('blanding',) : 1
('icsc',) : 1
('ramco-gershenson',) : 1
("ev'ry",) : 1
('rosamond',) : 1
('sun-ray',) : 1
('high-style',) : 1
('pippi',) : 1
('longstocking',) : 1
('tigerland',) : 1
('manchurian',) : 1
('mcallister',) : 1
('dandelion',) : 1
('babysitter',) : 1
('willed',) : 1
('meissen',) : 1
('moca',) : 1
('60,000-square-foot',) : 1
('mosh',) : 1
('gooding',) : 1
('zephaniah',) : 1
('cloisonné',) : 1
('karpeles',) : 1
('antique-book',) : 1
('500+',) : 1
('pumper',) : 1
('cycad',) : 1
('pythias',) : 1
('allman',) : 1
('lynyrd',) : 1
('skynyrd',) : 1
('.38',) : 1
('jacoby',) : 1
('nu',) : 1
('limp',) : 1
('bizkit',) : 1
('yellowcard',) : 1
('shinedown',) : 1
('jumpsuit',) : 1
('league-level',) : 1
('xxiv',) : 1
('axemen',) : 1
('county-jacksonville',) : 1
('remained—as',) : 1
('consolidation—independent',) : 1
('habijax',) : 1
('gerrymandered',) : 1
('5,106',) : 1
('hillis',) : 1
('123,000',) : 1
('k–8',) : 1
('darnell-cookman',) : 1
('paxon',) : 1
('bolles',) : 1
('1878.',) : 1
('40-year-old',) : 1
('dames',) : 1
('jackknife',) : 1
('bayard',) : 1
('flyovers',) : 1
('northbank',) : 1
('umiii',) : 1
('peoplemover',) : 1
('jta',) : 1
('18-month',) : 1
('metromover',) : 1
('2.5-mile',) : 1
('thrice-weekly',) : 1
('kjax',) : 1
('jaa',) : 1
('kcrg',) : 1
('herlong',) : 1
('kheg',) : 1
('heg',) : 1
('kvqq',) : 1
('fy2006',) : 1
('610,000',) : 1
('fascination',) : 1
('sailings',) : 1
('128,745',) : 1
('fireboats',) : 1
('jea',) : 1
('bellsouth',) : 1
('u-verse',) : 1
('voip',) : 1
('fiber-to-the-premises',) : 1
('fiber-to-the-node',) : 1
('vrad',) : 1
('taxexemptworld.com',) : 1
('2,910',) : 1
('exempt/non-profit',) : 1
('9.54',) : 1
('sulzbacher',) : 1
('/səˈvænə/',) : 1
('telfair',) : 1
('roundhouse',) : 1
('parklike',) : 1
('yamacraw',) : 1
('tomochichi',) : 1
('yamacraws',) : 1
('rout',) : 1
('westo',) : 1
('ša·wano·ki',) : 1
('shawano',) : 1
('savano',) : 1
('savana',) : 1
('zabana',) : 1
('281.5',) : 1
('103.1',) : 1
('267.0',) : 1
('5.15',) : 1
('ogeechee',) : 1
('kayton',) : 1
('dewpoints',) : 1
('67.8',) : 1
('savannah–hilton',) : 1
('re-curve',) : 1
('southwest/west',) : 1
('146,763',) : 1
('effingham',) : 1
('384,024',) : 1
('347,611',) : 1
('savannah-hinesville-statesboro',) : 1
('hinesville-fort',) : 1
('statesboro',) : 1
('539,753',) : 1
('495,745',) : 1
('52,615',) : 1
('31,390',) : 1
('1,759.5',) : 1
('679.4/km²',) : 1
('57,437',) : 1
('768.5',) : 1
('296.7/km²',) : 1
('38.03',) : 1
('51,375',) : 1
('3.13.',) : 1
('84.6',) : 1
('29,038',) : 1
('36,410',) : 1
('28,545',) : 1
('22,309',) : 1
('16,921',) : 1
('aldermanic',) : 1
('k-9',) : 1
('bloomingdale',) : 1
('wentworth',) : 1
('shipbuilder',) : 1
('visitor-related',) : 1
('17,000.',) : 1
('titlemax',) : 1
('jcb',) : 1
('handlers',) : 1
('2009-2014',) : 1
('hostess',) : 1
('beaulieu',) : 1
('talmadge',) : 1
('razing',) : 1
('rectors',) : 1
('evangelists',) : 1
('whitefield',) : 1
('moor',) : 1
('sorrel-weed',) : 1
('green-meldrim',) : 1
('owens-thomas',) : 1
('scarbrough',) : 1
('wormsloe',) : 1
('mercer-williams',) : 1
('bonaventure',) : 1
('rifled',) : 1
('3,000-mile-long',) : 1
('scad',) : 1
('fourth-year',) : 1
('specialities',) : 1
('forsyth',) : 1
('aba-accredited',) : 1
('juris',) : 1
('asterisk',) : 1
('oatland',) : 1
('wsav-tv',) : 1
('wtoc-tv',) : 1
('wjcl',) : 1
('wtgs',) : 1
('wvan',) : 1
('wjwj-tv',) : 1
('scetv',) : 1
('wgsa',) : 1
('wxsx-ca',) : 1
('on-demand',) : 1
('1,163.',) : 1
('larcenies',) : 1
('2,429',) : 1
('1,761',) : 1
('11,782',) : 1
('scmpd',) : 1
('nineties',) : 1
('fortner',) : 1
('9,100',) : 1
('bergeron–findeisen',) : 1
('inertially',) : 1
('al..',) : 1
('1997–2006',) : 1
('1969-1971',) : 1
('1949-1983',) : 1
('1268',) : 1
('uninfluenced',) : 1
('ocean-to-atmosphere',) : 1
('bsa',) : 1
('non-negative',) : 1
('ijsberg',) : 1
('isbjerg',) : 1
('eisberg',) : 1
('iesbarg',) : 1
('isberg',) : 1
('246.1',) : 1
('icebreaker',) : 1
('55-story',) : 1
('b-15',) : 1
('fizzing',) : 1
('bergie',) : 1
('seltzer',) : 1
("'popping",) : 1
('length-to-height',) : 1
('pobeda',) : 1
('filchner-ronne',) : 1
('b15',) : 1
('b-15a',) : 1
('abetted',) : 1
('1,517',) : 1
('2,223',) : 1
('kronprinz',) : 1
('ice-flow',) : 1
('icebreaking',) : 1
('slar',) : 1
('radarsat-2',) : 1
('multi-polarization',) : 1
('gulfport-biloxi-pascagoula',) : 1
('67,793.',) : 1
('co-county',) : 1
('customhouse',) : 1
('gutting',) : 1
('tiner',) : 1
('166.4',) : 1
('56.9',) : 1
('147.4',) : 1
('19.0',) : 1
('67,793',) : 1
('1,191.4',) : 1
('459.9/km²',) : 1
('50,825',) : 1
('74.97',) : 1
('56.86',) : 1
('36.07',) : 1
('1.69',) : 1
('2.13',) : 1
('2.73',) : 1
('5.19',) : 1
('31,602',) : 1
('555.4',) : 1
('214.4/km²',) : 1
('83.24',) : 1
('2.57',) : 1
('26,943',) : 1
('32,779',) : 1
('39,213',) : 1
('29,220',) : 1
('21,736',) : 1
('17,554',) : 1
('cruisin',) : 1
('speedboat',) : 1
('water-sport',) : 1
('wlox-dt2',) : 1
('cw+',) : 1
('gulfport/biloxi',) : 1
('submerges',) : 1
('overtops',) : 1
('flod',) : 1
('flut',) : 1
('vloed',) : 1
('slow-rising',) : 1
('wetting',) : 1
('over-topping',) : 1
('seep',) : 1
('nîmes',) : 1
('vaison-la-romaine',) : 1
('bundaberg',) : 1
('lahars',) : 1
('flood-damaged',) : 1
('culverted',) : 1
('knock-on',) : 1
('giardia',) : 1
('cryptosporidium',) : 1
('unworkable',) : 1
('after-effect',) : 1
('10–25',) : 1
('high-value',) : 1
(':22–23',) : 1
('community-safety',) : 1
('emergency-operations',) : 1
('impervious',) : 1
('suds',) : 1
('sump',) : 1
('hec-ras',) : 1
('tuflow',) : 1
('land-surface',) : 1
('time-series',) : 1
('ground-water',) : 1
('acrate',) : 1
('taunton',) : 1
('nohrsc',) : 1
('as-needed',) : 1
('soaking',) : 1
('gridpoint',) : 1
('civilization-destroying',) : 1
('breeze/land',) : 1
('ageostrophic',) : 1
('windsocks',) : 1
('1‑minute',) : 1
('2‑minute',) : 1
('3‑minute',) : 1
('rawinsondes',) : 1
('lidars',) : 1
('13-level',) : 1
('diagnosing',) : 1
('ρ.',) : 1
('betz',) : 1
('insufficiencies',) : 1
('gearbox',) : 1
('tehuano',) : 1
('tramontane',) : 1
('elevates',) : 1
('rotors',) : 1
('halny',) : 1
('wiatr',) : 1
('zonda',) : 1
('koembang',) : 1
("nor'west",) : 1
('sundowner',) : 1
('nrel',) : 1
('120.8',) : 1
('attainable',) : 1
('supergrid',) : 1
('boreas',) : 1
('notus',) : 1
('eurus',) : 1
('zephyrus',) : 1
('aeolus',) : 1
('astraeus',) : 1
('fathered',) : 1
('venti',) : 1
('fūjin',) : 1
('njörðr',) : 1
('dvärgar',) : 1
('dwarves',) : 1
('norðri',) : 1
('suðri',) : 1
('austri',) : 1
('vestri',) : 1
('stags',) : 1
('yggdrasil',) : 1
('personify',) : 1
('stribog',) : 1
('神風',) : 1
('blood-stint',) : 1
('fainted',) : 1
('mid-battle',) : 1
('whirled',) : 1
('compasses',) : 1
('rigging',) : 1
('groundspeed',) : 1
('anuradhapura',) : 1
('sistan',) : 1
('vertical-axle',) : 1
('driveshafts',) : 1
('matting',) : 1
('gristmilling',) : 1
('horizontal-axle',) : 1
('1180s',) : 1
('ground-hugging',) : 1
('compressive-towers',) : 1
('kites',) : 1
('snowkiting',) : 1
('landboarding',) : 1
('calima',) : 1
('shamal',) : 1
('dandelions',) : 1
('taraxacum',) : 1
('feathery',) : 1
('acer',) : 1
('sapindaceae',) : 1
('weedy',) : 1
('ruderal',) : 1
('tumbleweeds',) : 1
('anemophily',) : 1
('pollinated',) : 1
('twigs',) : 1
('windthrow',) : 1
('hurl',) : 1
('sandblaster',) : 1
('huddling',) : 1
('pebbles',) : 1
('cockroaches',) : 1
('cerci',) : 1
('glaucous',) : 1
('thick-billed',) : 1
('murres',) : 1
('howling',) : 1
('cavities',) : 1
('annoying',) : 1
('50–58',) : 1
('igr',) : 1
('j17091-3624',) : 1
('20,000,000',) : 1
('32,000,000',) : 1
('exobase',) : 1
('water-rich',) : 1
('particles—a',) : 1
('plasma—ejected',) : 1
('890,000',) : 1
('kev',) : 1
('heliosphere',) : 1
('sublimates',) : 1
('70°',) : 1
('1,163',) : 1
('pre–1900',) : 1
('1900–19',) : 1
('1920–39',) : 1
('1940–59',) : 1
('1960–79',) : 1
('2000–10',) : 1
('errands',) : 1
('stifling',) : 1
('filth',) : 1
('bridgette',) : 1
('meinhold',) : 1
('eco-friendly',) : 1
('affordability',) : 1
('bale',) : 1
('sandbag',) : 1
('fast-changing',) : 1
('thermo-',) : 1
('-haline',) : 1
('upwells',) : 1
('ocean—devoid',) : 1
('wind—was',) : 1
('diapycnal',) : 1
('discretely',) : 1
('t-s-diagram',) : 1
('interstices',) : 1
('bruunt-väisälä',) : 1
('dwbc',) : 1
('stommel',) : 1
('arons',) : 1
('stommel-arons',) : 1
('crevasses',) : 1
('greenland-scotland-ridge',) : 1
('shallows',) : 1
('polynyas',) : 1
('polynya',) : 1
('inclusions',) : 1
('dripping',) : 1
('underflows',) : 1
('−1.8',) : 1
('-1.8',) : 1
('atlantic—drawn',) : 1
('pacific—causes',) : 1
('haline',) : 1
('halinity',) : 1
